"Time","Total","Free","FS Cache","Used Memory","Pinned"
1638271080000,8192,175.046875,4267.408203125,3749.544921875,2651.6640625
1638271200000,8192,175.072265625,4267.4140625,3749.513671875,2651.6328125
1638271320000,8192,174.998046875,4267.427734375,3749.57421875,2651.6328125
1638271440000,8192,174.78515625,4267.609375,3749.60546875,2651.625
1638271560000,8192,173.7890625,4267.6640625,3750.546875,2651.8046875
1638271680000,8192,174.64453125,4267.6328125,3749.72265625,2651.646484375
1638271800000,8192,173.69921875,4267.681640625,3750.619140625,2651.841796875
1638271920000,8192,173.296875,4267.744140625,3750.958984375,2651.66015625
1638272040000,8192,172.56640625,4267.8359375,3751.59765625,2651.65234375
1638272160000,8192,172.576171875,4267.83984375,3751.583984375,2651.65234375
1638272280000,8192,172.6484375,4267.857421875,3751.494140625,2651.583984375
1638272400000,8192,171.625,4267.89453125,3752.48046875,2651.59765625
1638272520000,8192,168.369140625,4268.068359375,3755.5625,2651.716796875
1638272640000,8192,170.494140625,4268.076171875,3753.4296875,2651.609375
1638272760000,8192,170.421875,4268.0859375,3753.4921875,2651.638671875
1638272880000,8192,168.037109375,4268.1015625,3755.861328125,2651.76171875
1638273000000,8192,169.9375,4268.193359375,3753.869140625,2651.625
1638273120000,8192,169.087890625,4268.69921875,3754.212890625,2651.638671875
1638273240000,8192,168.361328125,4269.162109375,3754.4765625,2651.67578125
1638273360000,8192,166.228515625,4269.1796875,3756.591796875,2651.6640625
1638273480000,8192,168.22265625,4269.212890625,3754.564453125,2651.59765625
1638273600000,8192,167.845703125,4269.392578125,3754.76171875,2651.646484375
1638273720000,8192,167.83203125,4269.396484375,3754.771484375,2651.59375
1638273840000,8192,167.466796875,4269.41796875,3755.115234375,2651.662109375
1638273960000,8192,166.7109375,4269.42578125,3755.86328125,2651.630859375
1638274080000,8192,163.802734375,4269.546875,3758.650390625,2651.720703125
1638274200000,8192,163.388671875,4271.29296875,3757.318359375,2651.66015625
1638274320000,8192,161.646484375,4272.4609375,3757.892578125,2651.7265625
1638274440000,8192,161.671875,4272.4765625,3757.8515625,2651.681640625
1638274560000,8192,161.67578125,4272.4921875,3757.83203125,2651.66796875
1638274680000,8192,161.453125,4272.66015625,3757.88671875,2651.697265625
1638274800000,8192,160.119140625,4272.703125,3759.177734375,2651.875
1638274920000,8192,160.3125,4272.712890625,3758.974609375,2651.67578125
1638275040000,8192,159.91015625,4272.732421875,3759.357421875,2651.7265625
1638275160000,8192,158.908203125,4272.849609375,3760.2421875,2651.751953125
1638275280000,8192,158.376953125,4272.943359375,3760.6796875,2651.798828125
1638275400000,8192,158.94921875,4272.93359375,3760.1171875,2651.77734375
1638275520000,8192,159.05859375,4272.935546875,3760.005859375,2651.658203125
1638275640000,8192,160.056640625,4272.94921875,3758.994140625,2651.65625
1638275760000,8192,157.529296875,4273.154296875,3761.31640625,2651.75
1638275880000,8192,159.826171875,4273.166015625,3759.0078125,2651.626953125
1638276000000,8192,159.794921875,4273.1796875,3759.025390625,2651.658203125
1638276120000,8192,157.7265625,4273.185546875,3761.087890625,2651.701171875
1638276240000,8192,159.77734375,4273.18359375,3759.0390625,2651.625
1638276360000,8192,159.544921875,4273.361328125,3759.09375,2651.6640625
1638276480000,8192,159.548828125,4273.369140625,3759.08203125,2651.640625
1638276600000,8192,159.521484375,4273.408203125,3759.0703125,2651.638671875
1638276720000,8192,159.228515625,4273.4296875,3759.341796875,2651.671875
1638276840000,8192,159.3671875,4273.5390625,3759.09375,2651.66015625
1638276960000,8192,159.326171875,4273.630859375,3759.04296875,2651.62109375
1638277080000,8192,159.18359375,4273.66796875,3759.1484375,2651.705078125
